date,store,item_code,item_name,category,unit_price,discount,net_price,pack_qty,pack_unit,unit_price_per_lb,unit_price_per_ct
2026-07-10,Walmart,,Yoplait Low Fat Yogurt Variety Pack 8ct,Dairy,4.96,,4.96,8.0,ct,,0.62
2026-07-10,Walmart,,GV Greek Plain Nonfat Yogurt 32oz,Dairy,3.28,,3.28,32.0,oz,1.64,
2026-07-10,Walmart,,GV Chopped Pecans 4oz,Pantry,3.82,,3.82,4.0,oz,15.28,
2026-07-10,Walmart,,GV 100% Pasteurized Orange Juice 52fl oz,Beverages,4.46,,4.46,52.0,oz,1.372,
2026-07-10,Walmart,,GV Chile Adobo Crunchy Potato Chips 8oz,Snacks,1.50,,1.50,8.0,oz,3.0,
2026-07-10,Walmart,,GV Sardines in Water 3.75oz,Pantry,4.48,,4.48,3.75,oz,19.115,
2026-07-10,Walmart,,GV Enriched Bread Flour 5lb,Pantry,3.93,,3.93,5.0,lb,0.786,
2026-07-10,Walmart,,SunnyD Tangy Orange Juice Drink 1gal,Beverages,3.68,,3.68,128.0,oz,0.46,
2026-07-10,Walmart,,GV Penne Pasta 16oz,Pantry,1.24,,1.24,16.0,oz,1.24,
2026-07-10,Walmart,,GV Salt and Vinegar Potato Chips 7.75oz,Snacks,1.50,,1.50,7.75,oz,3.097,
2026-07-10,Walmart,,Fresh Beefsteak Tomatoes (qty 4),Produce,4.38,,4.38,,,,
2026-07-10,Walmart,,OLLY Kids Multivitamin + Probiotic Gummy 70ct,Health/Supplements,14.99,,14.99,70.0,ct,,0.2141
2026-07-15,Walmart,,Authentic Royal Basmati Rice 5lb,Pantry,9.52,,9.52,5.0,lb,1.904,
2026-07-15,Walmart,,Contadina Tomato Paste 6oz,Pantry,0.96,,0.96,6.0,oz,2.56,
2026-07-15,Walmart,,Covington Farms Chicken Leg Quarters 10lb,Meat,8.72,,8.72,10.0,lb,0.872,
2026-07-15,Walmart,,Fresh Whole White Boiler Onions 16oz,Produce,3.28,,3.28,16.0,oz,3.28,
2026-07-15,Walmart,,Fresh Whole Green Onion bunch,Produce,1.07,,1.07,,,,
2026-07-15,Walmart,,GV Deli Style Sliced Gouda Cheese 8oz,Dairy,1.67,,1.67,8.0,oz,3.34,
2026-07-15,Walmart,,GV Honey 12oz,Pantry,3.74,,3.74,12.0,oz,4.987,
2026-07-15,Walmart,,GV Sweet Cream Salted Butter 16oz,Dairy,3.06,,3.06,16.0,oz,3.06,
2026-07-15,Walmart,,GV Light Red Kidney Beans 1lb,Pantry,1.22,,1.22,1.0,lb,1.22,
2026-07-15,Walmart,,GV Freedom Ice Pops 12pk (Frozen),Frozen/Snacks,2.48,,2.48,,,,
2026-07-15,Walmart,,Knorr Granulated Bouillon Chicken 7.9oz,Pantry,2.54,,2.54,7.9,oz,5.144,
2026-07-15,Walmart,,GV Strawberry Peach Low-fat Yogurt 12pk,Dairy,6.47,,6.47,,,,
2026-07-15,Walmart,,GV Large White Eggs 36ct,Dairy,4.32,,4.32,36.0,ct,,0.12
2026-07-15,Walmart,,GV Yellow Popping Corn 32oz,Pantry,2.38,,2.38,32.0,oz,1.19,
2026-07-15,Walmart,,GV Less Sodium Soy Sauce 15fl oz,Pantry,1.68,,1.68,15.0,oz,1.792,
2026-07-15,Walmart,,Fleischmann's Active Dry Yeast 3ct,Pantry,1.88,,1.88,3.0,ct,,0.6267
2026-07-15,Walmart,,GV Chile Limon Crunchy Potato Chips 8oz,Snacks,1.50,,1.50,8.0,oz,3.0,
2026-07-15,Walmart,,Quaker Old Fashioned Oatmeal 18oz,Pantry,2.98,,2.98,18.0,oz,2.649,
2026-07-15,Walmart,,Lean Ground Beef 93/7 1lb,Meat,8.97,,8.97,1.0,lb,8.97,
2026-07-15,Walmart,,GV Whole Kernel Corn 12oz (Frozen),Frozen,0.98,,0.98,12.0,oz,1.307,
2026-07-15,Walmart,,GV Enriched Bread Flour 5lb,Pantry,3.93,,3.93,5.0,lb,0.786,
2026-07-15,Walmart,,GV Sardines in Water 3.75oz (qty 3),Pantry,3.36,,3.36,3.75,oz,14.336,
2026-07-15,Walmart,,Birds Eye Steamfresh Broccoli Florets 10.8oz,Frozen,1.87,,1.87,10.8,oz,2.77,
2026-07-15,Walmart,,SunnyD Tangy Orange Juice Drink 1gal,Beverages,3.68,,3.68,128.0,oz,0.46,
2026-07-15,Walmart,,GV Whole Vitamin D Milk 1gal,Dairy,3.12,,3.12,128.0,oz,0.39,
2026-07-15,Walmart,,Fresh Lime (qty 2),Produce,0.50,,0.50,,,,
2026-07-15,Walmart,,Morton Iodized Table Salt 26oz,Pantry,1.86,,1.86,26.0,oz,1.145,
2026-07-15,Walmart,,Fresh Whole Brown Mushrooms 8oz,Produce,2.18,,2.18,8.0,oz,4.36,
2026-07-15,Walmart,,Fresh Whole Carrots 2lb,Produce,2.26,,2.26,2.0,lb,1.13,
2026-07-15,Walmart,,Pork Rib Pieces Bone-In 2.2-3.15lb,Meat,10.98,,10.98,3.15,lb,3.486,
2026-07-15,Walmart,,Fresh Mini Cucumbers 16oz,Produce,2.08,,2.08,16.0,oz,2.08,
2026-07-15,Walmart,,Fresh Collard Greens bunch,Produce,2.47,,2.47,,,,
2026-07-15,Walmart,,Fresh Roma Tomato (qty 7),Produce,3.38,,3.38,,,,
2026-07-15,Walmart,,Fresh Beefsteak Tomatoes (qty 2),Produce,3.00,,3.00,,,,
2026-07-19,Walmart,,Maseca Gluten Free Corn Masa Flour 4lb,Pantry,3.98,,3.98,4.0,lb,0.995,
2026-07-19,Walmart,,GV Enriched Bread Flour 5lb,Pantry,3.93,,3.93,5.0,lb,0.786,
2026-07-19,Walmart,,Traditional Medicinals Throat Coat Tea 16ct,Beverages,5.88,,5.88,16.0,ct,,0.3675
2026-07-19,Walmart,,Duke's Real Mayonnaise 16oz,Pantry,3.97,,3.97,16.0,oz,3.97,
2026-07-19,Walmart,,GV Heavy Whipping Cream 16oz,Dairy,2.96,,2.96,16.0,oz,2.96,
2026-07-19,Walmart,,SunnyD Orange Peach Juice Drink 1gal,Beverages,3.68,,3.68,128.0,oz,0.46,
2026-07-19,Walmart,,Hormel Black Label Thick Cut Bacon 16oz,Meat,6.97,,6.97,16.0,oz,6.97,
2026-07-19,Walmart,,Fresh Cucumber (qty 2),Produce,1.72,,1.72,,,,
2026-07-19,Walmart,,GV Black Beans 1lb,Pantry,1.50,,1.50,1.0,lb,1.5,
2026-07-19,Walmart,,GV Light Red Kidney Beans 1lb,Pantry,1.22,,1.22,1.0,lb,1.22,
2026-07-19,Walmart,,Contadina Canned Tomato Paste 12oz,Pantry,1.76,,1.76,12.0,oz,2.347,
2026-07-19,Walmart,,GV Mayocoba Beans 16oz,Pantry,1.48,,1.48,16.0,oz,1.48,
2026-07-19,Walmart,,GV Whole Kernel Corn 12oz (Frozen),Frozen,0.98,,0.98,12.0,oz,1.307,
2026-07-19,Walmart,,Birds Eye Steamfresh Broccoli Florets 10.8oz,Frozen,1.87,,1.87,10.8,oz,2.77,
2026-07-19,Walmart,,Fresh Bell Peppers 3ct,Produce,2.97,,2.97,3.0,ct,,0.99
2026-07-19,Walmart,,Fresh Collard Greens bunch,Produce,2.47,,2.47,,,,
2026-07-19,Walmart,,Fresh Small Hass Avocados 5-6ct bag,Produce,3.48,,3.48,6.0,ct,,0.58
2026-07-19,Walmart,,Fresh Green Cabbage each,Produce,2.79,,2.79,,,,
